#,"Onko ryhmän työnjako mielestäsi selkeä?","Onko ryhmän kommunikointi ollut mielestäsi onnistunutta?","Onko projektin ajanhallinta ollut onnistunutta?","Koetko tulleesi kuulluksi?","Tunnetko iloa ja onnistumista työssäsi?","Start Date (UTC)","Submit Date (UTC)","Network ID"
0e3a72447f7457d53f3ca930845c1de1,Hyvä,Erinomainen,Erinomainen,Erinomainen,Hyvä,"2016-10-28 09:51:07","2016-10-28 09:51:27",60e9e6080d
cb60190105c4e82c5e186bc59d792789,Hyvä,Erinomainen,Erinomainen,Erinomainen,Erinomainen,"2016-10-28 09:51:08","2016-10-28 09:51:37",deb03f8a5d
a8e5d948901ec55fd4cd5f9597d649e7,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,"2016-10-28 09:51:11","2016-10-28 09:51:40",60e9e6080d
1b9bad4e7ce9fbf172cd218673b1d33e,Hyvä,Hyvä,Hyvä,Hyvä,Hyvä,"2016-10-28 09:56:24","2016-10-28 09:56:45",deb03f8a5d
621242bf3bcbd35a128d0c3608fb89e3,Hyvä,Hyvä,Korjattavaa,Erinomainen,Hyvä,"2016-10-28 09:56:37","2016-10-28 09:57:02",deb03f8a5d
3e8936e6b240ae6399cc1db22efd0ea1,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,"2016-10-28 09:58:45","2016-10-28 09:59:01",deb03f8a5d
05a263b4c8e30ba9610f0ef6c082b19f,Hyvä,Hyvä,Hyvä,Erinomainen,Hyvä,"2016-10-28 09:58:30","2016-10-28 09:59:04",deb03f8a5d
6eb90e2daf35e31d03ba6a449c1c680c,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,"2016-10-28 09:58:58","2016-10-28 09:59:24",60e9e6080d
db3ea92f4d9360d60a9f1fb7c46c1412,Hyvä,Korjattavaa,Hyvä,Hyvä,Hyvä,"2016-10-28 09:59:23","2016-10-28 09:59:55",deb03f8a5d
b73b9b609e2ad2b30b5d195b9ae423cf,Hyvä,Erinomainen,Erinomainen,Erinomainen,Hyvä,"2016-10-28 10:00:49","2016-10-28 10:01:06",60e9e6080d
956bf3004ee1bf23c8a73913973f6c15,Erinomainen,Korjattavaa,Hyvä,Korjattavaa,Hyvä,"2016-10-28 10:05:22","2016-10-28 10:06:14",deb03f8a5d
3d95af2d4821081b74f7549741f20884,Hyvä,Erinomainen,Hyvä,Erinomainen,Hyvä,"2016-10-28 10:05:27","2016-10-28 10:06:40",deb03f8a5d
fb90efb6e72f12f4e9c7e0337ffcaa4c,Hyvä,Hyvä,Erinomainen,Erinomainen,Hyvä,"2016-10-28 10:10:52","2016-10-28 10:11:26",60e9e6080d
cc19ca182e66e8e692a7a7eabc314a80,Hyvä,Hyvä,Korjattavaa,Hyvä,Hyvä,"2016-10-28 10:20:32","2016-10-28 10:21:13",60e9e6080d
1955fdd707921b6a532000033432dd87,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,"2016-10-28 10:22:59","2016-10-28 10:23:24",deb03f8a5d
7cdef2df9e5bb8a8f67df7b8f3779999,Hyvä,Hyvä,Hyvä,Erinomainen,Hyvä,"2016-10-28 10:38:33","2016-10-28 10:39:39",60e9e6080d
80a046d6f6da859bd189731b2f1eb917,Hyvä,Erinomainen,Erinomainen,Erinomainen,Erinomainen,"2016-10-28 10:51:19","2016-10-28 10:52:23",60e9e6080d
