#,"Onko ryhmän työnjako mielestäsi selkeä?","Onko ryhmän kommunikointi ollut mielestäsi onnistunutta?","Onko projektin ajanhallinta ollut onnistunutta?","Koetko tulleesi kuulluksi?","Tunnetko iloa ja onnistumista työssäsi?","Käy katsomassa http://myy.haaga-helia.fi/~a1503056/digiprojekti/kyselyv0.3/ja vastaa seuraaviin kysymyksiin.Oliko linkin vastauslomake mielestäsi helppokäyttöinen ja selkeä?","Minä tiedostomuotona haluaisit kyselyn vastaukset ladata?","Millä tavalla haluaisit kyselyn vastausten näkyvän?","Start Date (UTC)","Submit Date (UTC)","Network ID"
0e3a72447f7457d53f3ca930845c1de1,Hyvä,Erinomainen,Erinomainen,Erinomainen,Hyvä,,,,"2016-10-28 09:51:07","2016-10-28 09:51:27",60e9e6080d
cb60190105c4e82c5e186bc59d792789,Hyvä,Erinomainen,Erinomainen,Erinomainen,Erinomainen,,,,"2016-10-28 09:51:08","2016-10-28 09:51:37",deb03f8a5d
a8e5d948901ec55fd4cd5f9597d649e7,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,,,,"2016-10-28 09:51:11","2016-10-28 09:51:40",60e9e6080d
1b9bad4e7ce9fbf172cd218673b1d33e,Hyvä,Hyvä,Hyvä,Hyvä,Hyvä,,,,"2016-10-28 09:56:24","2016-10-28 09:56:45",deb03f8a5d
621242bf3bcbd35a128d0c3608fb89e3,Hyvä,Hyvä,Korjattavaa,Erinomainen,Hyvä,,,,"2016-10-28 09:56:37","2016-10-28 09:57:02",deb03f8a5d
3e8936e6b240ae6399cc1db22efd0ea1,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,,,,"2016-10-28 09:58:45","2016-10-28 09:59:01",deb03f8a5d
05a263b4c8e30ba9610f0ef6c082b19f,Hyvä,Hyvä,Hyvä,Erinomainen,Hyvä,,,,"2016-10-28 09:58:30","2016-10-28 09:59:04",deb03f8a5d
6eb90e2daf35e31d03ba6a449c1c680c,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,,,,"2016-10-28 09:58:58","2016-10-28 09:59:24",60e9e6080d
db3ea92f4d9360d60a9f1fb7c46c1412,Hyvä,Korjattavaa,Hyvä,Hyvä,Hyvä,,,,"2016-10-28 09:59:23","2016-10-28 09:59:55",deb03f8a5d
b73b9b609e2ad2b30b5d195b9ae423cf,Hyvä,Erinomainen,Erinomainen,Erinomainen,Hyvä,,,,"2016-10-28 10:00:49","2016-10-28 10:01:06",60e9e6080d
